data,rodada,mandante,visitante,gols_mandante,gols_visitante,status
2025-03-29T21:30:00Z,1,São Paulo FC,SC Recife,0,0,FINISHED
2025-03-29T21:30:00Z,1,Cruzeiro EC,Mirassol FC,2,1,FINISHED
2025-03-29T21:30:00Z,1,Grêmio FBPA,CA Mineiro,2,1,FINISHED
2025-03-29T21:30:00Z,1,Fortaleza EC,Fluminense FC,2,0,FINISHED
2025-03-29T21:30:00Z,1,EC Juventude,EC Vitória,2,0,FINISHED
2025-03-30T00:00:00Z,1,CR Flamengo,SC Internacional,1,1,FINISHED
2025-03-30T19:00:00Z,1,SE Palmeiras,Botafogo FR,0,0,FINISHED
2025-03-30T21:30:00Z,1,CR Vasco da Gama,Santos FC,2,1,FINISHED
2025-03-30T23:00:00Z,1,EC Bahia,SC Corinthians Paulista,1,1,FINISHED
2025-03-31T23:00:00Z,1,RB Bragantino,Ceará SC,2,2,FINISHED
2025-04-05T21:30:00Z,2,SC Corinthians Paulista,CR Vasco da Gama,3,0,FINISHED
2025-04-05T21:30:00Z,2,Ceará SC,Grêmio FBPA,2,0,FINISHED
2025-04-06T00:00:00Z,2,Botafogo FR,EC Juventude,2,0,FINISHED
2025-04-06T19:00:00Z,2,Fluminense FC,RB Bragantino,2,1,FINISHED
2025-04-06T19:00:00Z,2,CA Mineiro,São Paulo FC,0,0,FINISHED
2025-04-06T21:30:00Z,2,Mirassol FC,Fortaleza EC,1,1,FINISHED
2025-04-06T21:30:00Z,2,SC Internacional,Cruzeiro EC,3,0,FINISHED
2025-04-06T21:30:00Z,2,EC Vitória,CR Flamengo,1,2,FINISHED
2025-04-06T21:30:00Z,2,SC Recife,SE Palmeiras,1,2,FINISHED
2025-04-06T23:30:00Z,2,Santos FC,EC Bahia,2,2,FINISHED
2025-04-12T19:00:00Z,3,RB Bragantino,Botafogo FR,1,0,FINISHED
2025-04-12T19:00:00Z,3,EC Juventude,Ceará SC,2,1,FINISHED
2025-04-12T21:30:00Z,3,SE Palmeiras,SC Corinthians Paulista,2,0,FINISHED
2025-04-13T00:00:00Z,3,CR Vasco da Gama,SC Recife,3,1,FINISHED
2025-04-13T19:00:00Z,3,EC Bahia,Mirassol FC,1,1,FINISHED
2025-04-13T20:30:00Z,3,São Paulo FC,Cruzeiro EC,1,1,FINISHED
2025-04-13T20:30:00Z,3,Grêmio FBPA,CR Flamengo,0,2,FINISHED
2025-04-13T22:30:00Z,3,Fluminense FC,Santos FC,1,0,FINISHED
2025-04-13T23:00:00Z,3,Fortaleza EC,SC Internacional,0,0,FINISHED
2025-04-13T23:30:00Z,3,CA Mineiro,EC Vitória,2,2,FINISHED
2025-04-16T00:30:00Z,4,Ceará SC,CR Vasco da Gama,2,1,FINISHED
2025-04-16T21:30:00Z,4,Botafogo FR,São Paulo FC,2,2,FINISHED
2025-04-16T22:00:00Z,4,Mirassol FC,Grêmio FBPA,4,1,FINISHED
2025-04-16T22:00:00Z,4,SC Recife,RB Bragantino,0,1,FINISHED
2025-04-16T22:30:00Z,4,SC Corinthians Paulista,Fluminense FC,0,2,FINISHED
2025-04-16T22:30:00Z,4,SC Internacional,SE Palmeiras,0,1,FINISHED
2025-04-17T00:30:00Z,4,CR Flamengo,EC Juventude,6,0,FINISHED
2025-04-17T00:30:00Z,4,Santos FC,CA Mineiro,2,0,FINISHED
2025-04-17T00:30:00Z,4,EC Vitória,Fortaleza EC,2,1,FINISHED
2025-04-18T00:30:00Z,4,Cruzeiro EC,EC Bahia,3,0,FINISHED
2025-04-19T19:00:00Z,5,SC Corinthians Paulista,SC Recife,2,1,FINISHED
2025-04-19T21:30:00Z,5,CR Vasco da Gama,CR Flamengo,0,0,FINISHED
2025-04-20T00:00:00Z,5,Grêmio FBPA,SC Internacional,1,1,FINISHED
2025-04-20T14:00:00Z,5,EC Juventude,Mirassol FC,2,2,FINISHED
2025-04-20T19:00:00Z,5,São Paulo FC,Santos FC,2,1,FINISHED
2025-04-20T19:00:00Z,5,CA Mineiro,Botafogo FR,1,0,FINISHED
2025-04-20T21:30:00Z,5,Fluminense FC,EC Vitória,1,1,FINISHED
2025-04-20T21:30:00Z,5,Fortaleza EC,SE Palmeiras,1,2,FINISHED
2025-04-20T23:30:00Z,5,RB Bragantino,Cruzeiro EC,1,0,FINISHED
2025-04-21T23:00:00Z,5,EC Bahia,Ceará SC,1,0,FINISHED
2025-04-26T19:00:00Z,6,SC Internacional,EC Juventude,3,1,FINISHED
2025-04-26T21:30:00Z,6,Mirassol FC,CA Mineiro,2,2,FINISHED
2025-04-26T21:30:00Z,6,Ceará SC,São Paulo FC,1,1,FINISHED
2025-04-26T23:00:00Z,6,SC Recife,Fortaleza EC,0,0,FINISHED
2025-04-27T00:00:00Z,6,Botafogo FR,Fluminense FC,2,0,FINISHED
2025-04-27T19:00:00Z,6,CR Flamengo,SC Corinthians Paulista,4,0,FINISHED
2025-04-27T21:30:00Z,6,SE Palmeiras,EC Bahia,0,1,FINISHED
2025-04-27T21:30:00Z,6,Cruzeiro EC,CR Vasco da Gama,1,0,FINISHED
2025-04-27T21:30:00Z,6,EC Vitória,Grêmio FBPA,1,1,FINISHED
2025-04-27T23:30:00Z,6,Santos FC,RB Bragantino,1,2,FINISHED
2025-05-03T00:30:00Z,7,São Paulo FC,Fortaleza EC,0,0,FINISHED
2025-05-03T21:30:00Z,7,Fluminense FC,SC Recife,2,1,FINISHED
2025-05-03T21:30:00Z,7,SC Corinthians Paulista,SC Internacional,4,2,FINISHED
2025-05-03T21:30:00Z,7,Ceará SC,EC Vitória,1,0,FINISHED
2025-05-04T00:00:00Z,7,EC Bahia,Botafogo FR,1,0,FINISHED
2025-05-04T19:00:00Z,7,CR Vasco da Gama,SE Palmeiras,0,1,FINISHED
2025-05-04T19:00:00Z,7,Grêmio FBPA,Santos FC,1,0,FINISHED
2025-05-04T21:30:00Z,7,Cruzeiro EC,CR Flamengo,2,1,FINISHED
2025-05-05T22:00:00Z,7,RB Bragantino,Mirassol FC,1,0,FINISHED
2025-05-05T23:00:00Z,7,EC Juventude,CA Mineiro,0,1,FINISHED
2025-05-10T19:00:00Z,8,Fortaleza EC,EC Juventude,5,0,FINISHED
2025-05-10T21:30:00Z,8,Mirassol FC,SC Corinthians Paulista,2,1,FINISHED
2025-05-10T21:30:00Z,8,Grêmio FBPA,RB Bragantino,1,1,FINISHED
2025-05-10T21:30:00Z,8,EC Vitória,CR Vasco da Gama,2,1,FINISHED
2025-05-11T00:00:00Z,8,CR Flamengo,EC Bahia,1,0,FINISHED
2025-05-11T19:00:00Z,8,SC Recife,Cruzeiro EC,0,4,FINISHED
2025-05-11T20:30:00Z,8,SE Palmeiras,São Paulo FC,1,0,FINISHED
2025-05-11T20:30:00Z,8,CA Mineiro,Fluminense FC,3,2,FINISHED
2025-05-11T23:00:00Z,8,Botafogo FR,SC Internacional,4,0,FINISHED
2025-05-12T23:00:00Z,8,Santos FC,Ceará SC,0,0,FINISHED
2025-05-17T19:00:00Z,9,Ceará SC,SC Recife,2,0,FINISHED
2025-05-17T21:30:00Z,9,CR Vasco da Gama,Fortaleza EC,3,0,FINISHED
2025-05-18T00:00:00Z,9,São Paulo FC,Grêmio FBPA,2,1,FINISHED
2025-05-18T19:00:00Z,9,SC Corinthians Paulista,Santos FC,1,0,FINISHED
2025-05-18T19:00:00Z,9,EC Bahia,EC Vitória,2,1,FINISHED
2025-05-18T19:00:00Z,9,EC Juventude,Fluminense FC,1,1,FINISHED
